contest_name,choice,sum_total_votes
CALDWELL COUNTY BOARD OF COMMISSIONERS (DEM),Brian K. Foster,712
CALDWELL COUNTY BOARD OF COMMISSIONERS (DEM),Michael D. Careccia,507
CALDWELL COUNTY BOARD OF COMMISSIONERS (DEM),Thomas E. (Tom) Blanton,513
CAMDEN COUNTY CLERK OF SUPERIOR COURT (DEM),Paula J. Harrison,517
CAMDEN COUNTY CLERK OF SUPERIOR COURT (DEM),Y. Monique Chamblee,248
CAMDEN COUNTY SHERIFF (REP),Kevin Jones,574
CAMDEN COUNTY SHERIFF (REP),Rodney L. Meads,568
CARTERET COUNTY BOARD OF EDUCATION DISTRICT 3 (REP),Christopher Mashburn,775
CARTERET COUNTY BOARD OF EDUCATION DISTRICT 3 (REP),Robert Clark Jenkins,1070
CARTERET COUNTY CLERK OF SUPERIOR COURT (REP),Ken Raper,3862
CARTERET COUNTY CLERK OF SUPERIOR COURT (REP),Pam Hanson,3330
CASWELL COUNTY BOARD OF COMMISSIONERS DISTRICT 1 (REP),David Owen,96
CASWELL COUNTY BOARD OF COMMISSIONERS DISTRICT 1 (REP),John F. Claggett,61
CASWELL COUNTY BOARD OF EDUCATION DISTRICT 1,Elin Claggett,207
CASWELL COUNTY BOARD OF EDUCATION DISTRICT 1,Gordon Satterfield,301
CASWELL COUNTY BOARD OF EDUCATION DISTRICT 1,Vennie Beggarly,408
CASWELL COUNTY BOARD OF EDUCATION DISTRICT 1,Write-In (Miscellaneous),0
CASWELL COUNTY BOARD OF EDUCATION DISTRICT 2,Wayne L. Owen,1039
CASWELL COUNTY BOARD OF EDUCATION DISTRICT 2,Write-In (Miscellaneous),19
CASWELL COUNTY BOARD OF EDUCATION DISTRICT 5,Donna Hudson,772
CASWELL COUNTY BOARD OF EDUCATION DISTRICT 5,Write-In (Miscellaneous),9
CASWELL COUNTY SHERIFF (DEM),Michael Dodson,1924
CASWELL COUNTY SHERIFF (DEM),"Tony Durden, Jr.",2825
CATAWBA COUNTY BOARD OF COMMISSIONERS (REP),C. Randall (Randy) Isenhower,13822
CATAWBA COUNTY BOARD OF COMMISSIONERS (REP),Derek Colson,8025
CATAWBA COUNTY BOARD OF COMMISSIONERS (REP),Kitty Barnes,11471
CATAWBA COUNTY BOARD OF COMMISSIONERS (REP),Sherry Edmonds Butler,11279
CATAWBA COUNTY CLERK OF SUPERIOR COURT (REP),Cathy J. Starnes,7759
CATAWBA COUNTY CLERK OF SUPERIOR COURT (REP),Kim Richards Sigmon,10534
CATAWBA COUNTY SHERIFF (REP),Don Brown,13025
CATAWBA COUNTY SHERIFF (REP),Jason Coy Reid,5678
CHATHAM COUNTY CLERK OF SUPERIOR COURT (DEM),Claire Parker Wilson,3360
CHATHAM COUNTY CLERK OF SUPERIOR COURT (DEM),Dana M. Hackney,6612
CHATHAM COUNTY SHERIFF (DEM),Michael R. (Mike) Roberson,6304
CHATHAM COUNTY SHERIFF (DEM),Percy Crutchfield,3945
CHEROKEE COUNTY BOARD OF COMMISSIONERS DISTRICT I (REP),Cal Stiles,1938
CHEROKEE COUNTY BOARD OF COMMISSIONERS DISTRICT I (REP),Tim West,1863
CHEROKEE COUNTY BOARD OF COMMISSIONERS DISTRICT III (REP),Corey V. Bailey,1018
CHEROKEE COUNTY BOARD OF COMMISSIONERS DISTRICT III (REP),Gary (Hippie) Westmoreland,2686
CHEROKEE COUNTY BOARD OF COMMISSIONERS DISTRICT IV (REP),Dan Eichenbaum,1919
CHEROKEE COUNTY BOARD OF COMMISSIONERS DISTRICT IV (REP),Winfield L. Clonts,1879
CHEROKEE COUNTY BOARD OF EDUCATION AT-LARGE (REP),Keesha Curtis,1707
CHEROKEE COUNTY BOARD OF EDUCATION AT-LARGE (REP),Tylor J. Dockery,1602
CHEROKEE COUNTY BOARD OF EDUCATION DISTRICT II (REP),Jeannie Gaddis,1175
CHEROKEE COUNTY BOARD OF EDUCATION DISTRICT II (REP),Jeff Martin,2397
CHEROKEE COUNTY BOARD OF EDUCATION DISTRICT III (REP),Joe Wood,2481
CHEROKEE COUNTY BOARD OF EDUCATION DISTRICT III (REP),Mark Patterson,1767
CHEROKEE COUNTY BOARD OF EDUCATION DISTRICT III (REP),Paul H. Brown,1594
CHEROKEE COUNTY SHERIFF (REP),Dan Sherrill,1089
CHEROKEE COUNTY SHERIFF (REP),Derrick Palmer,2732
CITY OF ALBEMARLE CITY COUNCIL (AT-LARGE) (REP),Duke Furr,438
CITY OF ALBEMARLE CITY COUNCIL (AT-LARGE) (REP),Martha E. Hughes,965
CITY OF LINCOLNTON CITY COUNCIL WARD 1 (DEM),Mary Frances White,623
CITY OF LINCOLNTON CITY COUNCIL WARD 1 (DEM),Willie Vaughn,70
CLAY COUNTY BOARD OF COMMISSIONERS (REP),Clay Logan,859
CLAY COUNTY BOARD OF COMMISSIONERS (REP),Daryl Moore,564
CLAY COUNTY BOARD OF COMMISSIONERS (REP),Dwight H. Penland,987
CLAY COUNTY BOARD OF COMMISSIONERS (REP),John Mazza,828
CLAY COUNTY BOARD OF COMMISSIONERS (REP),Pamela J. Bunch,532
CLAY COUNTY BOARD OF COMMISSIONERS (REP),Scotty Penland,1323
CLAY COUNTY BOARD OF COMMISSIONERS (REP),Tammie Hurst,412
CLAY COUNTY BOARD OF EDUCATION (REP),Andy Carter,806
CLAY COUNTY BOARD OF EDUCATION (REP),Ashley Owens,883
CLAY COUNTY BOARD OF EDUCATION (REP),Cory Scroggs,515
CLAY COUNTY BOARD OF EDUCATION (REP),Kelly L. Crawford,1275
CLAY COUNTY BOARD OF EDUCATION (REP),Robert (Robbie) Caldwell,1294
CLAY COUNTY REGISTER OF DEEDS (REP),Angie Shook,1394
CLAY COUNTY REGISTER OF DEEDS (REP),April L. Krieger,664
CLAY COUNTY SHERIFF (REP),Bobby Deese,678
CLAY COUNTY SHERIFF (REP),Brandon Coker,111
CLAY COUNTY SHERIFF (REP),David R. Owen,160
CLAY COUNTY SHERIFF (REP),Joe Shook,560
CLAY COUNTY SHERIFF (REP),Robert Tison,240
CLAY COUNTY SHERIFF (REP),Shon Crisp,346
CLEVELAND COUNTY BOARD OF COMMISSIONERS (DEM),Chris Gash,3094
CLEVELAND COUNTY BOARD OF COMMISSIONERS (DEM),Eddie Holbrook,2114
CLEVELAND COUNTY BOARD OF COMMISSIONERS (DEM),Todd McIntosh,1846
CLINTON CITY SCHOOLS BOARD OF EDUCATION,Carol A. Worley,927
CLINTON CITY SCHOOLS BOARD OF EDUCATION,Georgina Zeng,507
CLINTON CITY SCHOOLS BOARD OF EDUCATION,Stuart Blount,591
CLINTON CITY SCHOOLS BOARD OF EDUCATION,Write-In (Miscellaneous),24
COLUMBUS COUNTY BOARD OF COMMISSIONERS DISTRICT 1 (DEM),Amon McKenzie,342
COLUMBUS COUNTY BOARD OF COMMISSIONERS DISTRICT 1 (DEM),Jerome McMillian,580
COLUMBUS COUNTY BOARD OF COMMISSIONERS DISTRICT 1 (DEM),Ryan Featherson,154
COLUMBUS COUNTY BOARD OF COMMISSIONERS DISTRICT 7 (DEM),Charles T. McDowell,441
COLUMBUS COUNTY BOARD OF COMMISSIONERS DISTRICT 7 (DEM),Johnny Edge,178
COLUMBUS COUNTY SHERIFF (DEM),Lewis L. Hatcher,3583
COLUMBUS COUNTY SHERIFF (DEM),Tim Floyd,813
COLUMBUS COUNTY SHERIFF (REP),Mark Lewis,245
COLUMBUS COUNTY SHERIFF (REP),S. Jody Greene,1406
CRAVEN COUNTY BOARD OF COMMISSIONERS DISTRICT 1 (REP),Greg Holt,511
CRAVEN COUNTY BOARD OF COMMISSIONERS DISTRICT 1 (REP),Tom Mark,692
CRAVEN COUNTY BOARD OF COMMISSIONERS DISTRICT 4 (REP),Billy Joiner,710
CRAVEN COUNTY BOARD OF COMMISSIONERS DISTRICT 4 (REP),E.T. Mitchell,1093
CRAVEN COUNTY BOARD OF COMMISSIONERS DISTRICT 5 (DEM),"Rufus Carter, Jr.",280
CRAVEN COUNTY BOARD OF COMMISSIONERS DISTRICT 5 (DEM),Theron McCabe,288
CRAVEN COUNTY SHERIFF (DEM),Eric W. Smith,2378
CRAVEN COUNTY SHERIFF (DEM),Jerry G. Monette,2451
CRAVEN COUNTY SHERIFF (DEM),John L. Gillyard,228
CUMBERLAND COUNTY CLERK OF SUPERIOR COURT (DEM),Eshonda Hooper,2687
CUMBERLAND COUNTY CLERK OF SUPERIOR COURT (DEM),Lisa A. Scales,12921
CUMBERLAND COUNTY SHERIFF (DEM),Denny Davis,831
CUMBERLAND COUNTY SHERIFF (DEM),Ennis W. Wright,13003
CUMBERLAND COUNTY SHERIFF (DEM),Jeff Marks,1890
CUMBERLAND COUNTY SHERIFF (REP),Carlton Sallie,1164
CUMBERLAND COUNTY SHERIFF (REP),Charlie Baxley,3669
CUMBERLAND COUNTY SHERIFF (REP),LaRue Windham,944
CUMBERLAND COUNTY SHERIFF (REP),Victor B. Starling,1020
CURRITUCK COUNTY BOARD OF COMMISSIONERS AT-LARGE (REP),Kevin E. McCord,1730
CURRITUCK COUNTY BOARD OF COMMISSIONERS AT-LARGE (REP),Mike Hall,1178
CURRITUCK COUNTY BOARD OF COMMISSIONERS DISTRICT 5 (REP),Fred Whiteman,886
CURRITUCK COUNTY BOARD OF COMMISSIONERS DISTRICT 5 (REP),J. Owen Etheridge,1059
CURRITUCK COUNTY BOARD OF COMMISSIONERS DISTRICT 5 (REP),Marion Gilbert,901
CURRITUCK COUNTY SHERIFF (REP),Bob Douros,676
CURRITUCK COUNTY SHERIFF (REP),Matt Beickert,2275
City of Salisbury Lease Referendum,AGAINST,590
City of Salisbury Lease Referendum,FOR,2602
DARE COUNTY BOARD OF COMMISSIONERS AT-LARGE (REP),Anne P. Petera,1931
DARE COUNTY BOARD OF COMMISSIONERS AT-LARGE (REP),Ed Danko,723
DARE COUNTY BOARD OF COMMISSIONERS DISTRICT 2 (REP),Rob Ross,1407
DARE COUNTY BOARD OF COMMISSIONERS DISTRICT 2 (REP),Ronnie Merrell,1266
DARE COUNTY BOARD OF EDUCATION DISTRICT 1 (REP),Frank O. Hester,1429
DARE COUNTY BOARD OF EDUCATION DISTRICT 1 (REP),Rick Casey,1030
DAVIDSON COUNTY BOARD OF COMMISSIONERS (REP),Chris Elliott,8876
DAVIDSON COUNTY BOARD OF COMMISSIONERS (REP),Craig Smith,7299
DAVIDSON COUNTY BOARD OF COMMISSIONERS (REP),Don W. Truell,9265
DAVIDSON COUNTY BOARD OF COMMISSIONERS (REP),James Shores,5398
DAVIDSON COUNTY BOARD OF COMMISSIONERS (REP),Karen Watford,9886
DAVIDSON COUNTY BOARD OF COMMISSIONERS (REP),Lance Barrett,5424
DAVIDSON COUNTY BOARD OF COMMISSIONERS (REP),Steve Shell,10546
DAVIDSON COUNTY BOARD OF COMMISSIONERS (REP),Terry Sprinkle,5697
DAVIDSON COUNTY BOARD OF COMMISSIONERS (REP),Todd Yates,7970
DAVIDSON COUNTY CLERK OF SUPERIOR COURT (REP),Brian Lee Shipwash,12446
DAVIDSON COUNTY CLERK OF SUPERIOR COURT (REP),Leigh Truelove,7921
DAVIDSON COUNTY REGISTER OF DEEDS (REP),David T. Rickard,9333
DAVIDSON COUNTY REGISTER OF DEEDS (REP),Michael E. Horne,10163
DAVIDSON COUNTY SHERIFF (REP),David S. Grice,4865
DAVIDSON COUNTY SHERIFF (REP),"Gerald K. Hege, Sr.",3494
DAVIDSON COUNTY SHERIFF (REP),Greg Wood,1782
DAVIDSON COUNTY SHERIFF (REP),Richie Simmons,11229
DAVIE COUNTY BOARD OF COMMISSIONERS (REP),Benita Finney,2799
DAVIE COUNTY BOARD OF COMMISSIONERS (REP),Charles Odell Williams,711
DAVIE COUNTY BOARD OF COMMISSIONERS (REP),James V. Blakley,2935
DAVIE COUNTY BOARD OF COMMISSIONERS (REP),John H. Ferguson,2090
DAVIE COUNTY BOARD OF COMMISSIONERS (REP),Robert Wisecarver,2285
DAVIE COUNTY BOARD OF EDUCATION (REP),Clint Junker,4424
DAVIE COUNTY BOARD OF EDUCATION (REP),David Carroll,2606
DAVIE COUNTY BOARD OF EDUCATION (REP),Dwight C. Goodman,2451
DAVIE COUNTY BOARD OF EDUCATION (REP),Lori Sluder Smith,4034
DAVIE COUNTY SHERIFF (REP),J.D. Hartman,3514
DAVIE COUNTY SHERIFF (REP),Kevin Curtiss,91
DAVIE COUNTY SHERIFF (REP),Mark S. Howell,263
DAVIE COUNTY SHERIFF (REP),Mitchell W. Whitener,1818
DAVIE COUNTY SHERIFF (REP),Nelson Turrentine,239
DISTRICT ATTORNEY DISTRICT 03 (DEM),Derek K. Brown,5704
DISTRICT ATTORNEY DISTRICT 03 (DEM),Faris Dixon,5966
DISTRICT ATTORNEY DISTRICT 03 (REP),Glenn Perry,4219
DISTRICT ATTORNEY DISTRICT 03 (REP),Lee Allen,3042
DISTRICT ATTORNEY DISTRICT 07 (DEM),Norlan Graves,8942
DISTRICT ATTORNEY DISTRICT 07 (DEM),Valerie Mitchell Asbell,11935
DISTRICT ATTORNEY DISTRICT 16 (DEM),Daniel Meier,3321
DISTRICT ATTORNEY DISTRICT 16 (DEM),Roger Echols,12639
DISTRICT ATTORNEY DISTRICT 16 (DEM),Satana Deberry,15199
DISTRICT ATTORNEY DISTRICT 17 (REP),Pat Nadolski,3513
DISTRICT ATTORNEY DISTRICT 17 (REP),Sean Boone,4375
DISTRICT ATTORNEY DISTRICT 20 (DEM),Joe Osman,8297
DISTRICT ATTORNEY DISTRICT 20 (DEM),Matt Scott,11564
DISTRICT ATTORNEY DISTRICT 22 (REP),Jason Ramey,4564
DISTRICT ATTORNEY DISTRICT 22 (REP),Ron Bradsher,2124
DISTRICT ATTORNEY DISTRICT 24 (DEM),Avery Michelle Crump,14665
DISTRICT ATTORNEY DISTRICT 24 (DEM),Stephanie Reese,12714
DISTRICT ATTORNEY DISTRICT 36 (REP),David Learner,10655
DISTRICT ATTORNEY DISTRICT 36 (REP),Scott Reilly,14397
DISTRICT ATTORNEY DISTRICT 37 (DEM),Spencer Merriweather,43004
DISTRICT ATTORNEY DISTRICT 37 (DEM),Toussaint C. Romain,12246
DISTRICT ATTORNEY DISTRICT 40 (DEM),Ben Scales,11369
DISTRICT ATTORNEY DISTRICT 40 (DEM),Todd M. Williams,12956
DISTRICT ATTORNEY DISTRICT 41 (REP),"Garland Franklin Byers, Jr.",3263
DISTRICT ATTORNEY DISTRICT 41 (REP),Ted Bell,4920
DISTRICT ATTORNEY DISTRICT 42 (REP),Greg Newman,10885
DISTRICT ATTORNEY DISTRICT 42 (REP),Mary Ann J. Hollocker,5287
DUPLIN COUNTY SHERIFF (DEM),Blake Wallace,2935
DUPLIN COUNTY SHERIFF (DEM),Harvey Stroud,1472
DURHAM COUNTY BOARD OF EDUCATION DISTRICT 1,Mike Lee,3766
DURHAM COUNTY BOARD OF EDUCATION DISTRICT 1,Pebble Lindsay-Lucas,2814
DURHAM COUNTY BOARD OF EDUCATION DISTRICT 1,Write-In (Miscellaneous),52
DURHAM COUNTY BOARD OF EDUCATION DISTRICT 2,Bettina Umstead,6584
DURHAM COUNTY BOARD OF EDUCATION DISTRICT 2,Write-In (Miscellaneous),319
DURHAM COUNTY BOARD OF EDUCATION DISTRICT 3,Katie E. Jones,2521
DURHAM COUNTY BOARD OF EDUCATION DISTRICT 3,Matt Sears,6687
DURHAM COUNTY BOARD OF EDUCATION DISTRICT 3,Write-In (Miscellaneous),102
DURHAM COUNTY BOARD OF EDUCATION DISTRICT 4,Angela Starke,1742
DURHAM COUNTY BOARD OF EDUCATION DISTRICT 4,Antonio Jones,2198
DURHAM COUNTY BOARD OF EDUCATION DISTRICT 4,Natalie Beyer,4835
DURHAM COUNTY BOARD OF EDUCATION DISTRICT 4,Write-In (Miscellaneous),121
DURHAM COUNTY SHERIFF (DEM),Clarence Birkhead,21639
DURHAM COUNTY SHERIFF (DEM),Mike Andrews,9705
EDGECOMBE COUNTY BOARD OF EDUCATION DISTRICT 1,Evelyn Shaw Wilson,200
EDGECOMBE COUNTY BOARD OF EDUCATION DISTRICT 1,Write-In (Miscellaneous),4
EDGECOMBE COUNTY BOARD OF EDUCATION DISTRICT 3,Evelyn J. Johnson,231
EDGECOMBE COUNTY BOARD OF EDUCATION DISTRICT 3,Write-In (Miscellaneous),5
EDGECOMBE COUNTY BOARD OF EDUCATION DISTRICT 5,Ann Elise Kent,159
EDGECOMBE COUNTY BOARD OF EDUCATION DISTRICT 5,Write-In (Miscellaneous),5
EDGECOMBE COUNTY BOARD OF EDUCATION DISTRICT 7,Marva G. Scott,179
EDGECOMBE COUNTY BOARD OF EDUCATION DISTRICT 7,Write-In (Miscellaneous),9
FORSYTH COUNTY BOARD OF COMMISSIONERS AT-LARGE (REP),A. L. (Buddy) Collins,6089
FORSYTH COUNTY BOARD OF COMMISSIONERS AT-LARGE (REP),Jimmie Boyd,3044
FORSYTH COUNTY BOARD OF COMMISSIONERS DISTRICT A (DEM),Everette Witherspoon,2906
FORSYTH COUNTY BOARD OF COMMISSIONERS DISTRICT A (DEM),Fleming El-Amin,3057
FORSYTH COUNTY BOARD OF COMMISSIONERS DISTRICT A (DEM),Tony Lewis Burton III,2801
FORSYTH COUNTY BOARD OF COMMISSIONERS DISTRICT A (DEM),Tonya McDaniel,3328
FORSYTH COUNTY BOARD OF EDUCATION DISTRICT 1 (DEM),Alex Bailand Bohannon,2111
FORSYTH COUNTY BOARD OF EDUCATION DISTRICT 1 (DEM),Barbara Hanes Burke,4049
FORSYTH COUNTY BOARD OF EDUCATION DISTRICT 1 (DEM),Chenita Barber Johnson,1787
FORSYTH COUNTY BOARD OF EDUCATION DISTRICT 1 (DEM),Eunice Campbell,1352
FORSYTH COUNTY BOARD OF EDUCATION DISTRICT 1 (DEM),Malishai (Shai) Woodbury,2987
FORSYTH COUNTY BOARD OF EDUCATION DISTRICT 2 (REP),Dana Caudill Jones,5690
FORSYTH COUNTY BOARD OF EDUCATION DISTRICT 2 (REP),David B. Singletary,5239
FORSYTH COUNTY BOARD OF EDUCATION DISTRICT 2 (REP),Leah H. Crowley,5290
